"A_bin" "L_bin_binA" "L_cat_binA" "M_cont_binA" "M_bin_binA" "M_cat_binA" "contY_binMcontMbinA_EMint" "contY_catMbinMbinA_EMint" "contY_catMcontMbinA_EMint" "binY_binMcontMbinA_EMint" "binY_catMbinMbinA_EMint" "binY_catMcontMbinA_EMint" "countY_binMcontMbinA_EMint" "countY_catMbinMbinA_EMint" "countY_catMcontMbinA_EMint" "C_cont"
"1" 1 1 1 0.730988460735577 1 0 -0.73935355979423 -1.52734882211937 -1.69638622832201 0 0 0 1 2 2 0.471826683198375
"2" 0 0 0 0.272324947507323 1 1 -3.4025820142296 -1.51738885677245 -2.93892087357489 0 1 0 4 2 5 2.25011962550777
"3" 0 0 0 -0.0512510303502929 0 0 -4.92455405929835 -5.05258143607564 -5.32646895255842 0 0 0 9 6 3 0.487438801883448
"4" 0 0 1 0.305666973150057 1 0 -3.07692858877859 -3.05559914917193 -3.9163142984207 0 0 0 3 3 6 0.866804825200464
"5" 0 0 2 0.188686890169794 0 1 -4.27313140741753 -2.77348354409829 -2.97953895526623 0 0 0 0 2 3 0.925269724023322
"6" 0 1 0 0.436083925175084 0 1 -3.65451633398528 -2.60438443843752 -2.42381116754772 0 0 0 4 3 3 2.86288241710585
"7" 0 0 0 -0.104278217413493 0 0 -5.02047273770306 -4.64286919767041 -4.95536392250843 0 0 0 4 3 10 0.996096933171083
"8" 0 1 2 0.345909482006341 1 0 -2.67299143726209 -3.11372996839871 -3.50171469240008 0 0 0 2 3 4 1.24568465445406
"9" 0 1 2 0.642262670235356 0 2 -3.16146467246381 -2.94086880730306 -1.59952253014103 0 0 0 2 2 2 2.07477611491063
"10" 0 1 0 -0.216033936801864 1 0 -3.91916107767303 -3.1423560974707 -4.72012075195663 0 0 0 3 2 6 0.593762732947009
"11" 1 1 2 0.886423889362608 1 2 -0.897758904678049 -0.622731818782145 -0.0853837452072004 1 1 1 1 0 0 1.91260739626999
"12" 1 1 2 0.901396501713292 1 2 -0.345407051789161 -0.409945019405698 -0.0504443612526735 0 0 1 0 0 2 1.49021858862006
"13" 0 0 2 -0.390918961829569 0 0 -5.89524562247363 -5.03288847720555 -5.98731400449202 0 0 0 8 4 5 -1.62562948143075
"14" 0 1 1 0.255047394274944 0 0 -3.57627453689764 -3.98815580633018 -3.64183095544125 0 0 0 3 6 2 0.359010110745881
"15" 1 0 2 1.02985667926208 0 2 -1.88817736602708 -2.32610789680808 0.0163466330190568 1 0 0 1 4 0 2.7687411300081
"16" 1 1 2 1.15057028720376 1 1 -0.0997776616965013 -0.105465415939274 -0.236464331338012 1 0 0 0 0 0 2.60866237805555
"17" 0 0 2 0.198464798405761 1 0 -2.88886815482378 -3.08870765080409 -3.82042739242637 0 0 0 2 6 7 1.42174660617917
"18" 0 1 1 0.634808137485048 0 0 -3.02310210647884 -4.17225683154102 -2.97499341913958 0 0 0 6 5 0 1.79176599846346
"19" 1 0 1 0.012533290336751 1 1 -2.30095250761522 -0.145496791162992 -2.69797237962518 0 0 0 0 0 4 -2.05970410940543
"20" 1 0 0 0.607552229699668 0 1 -2.71429550714864 -2.02668810945586 -1.6062689916353 0 1 0 3 0 1 1.60896281353117
"21" 1 0 0 0.372825776089988 1 0 -2.24559089401828 -2.54998791910575 -3.38446318059005 0 0 0 4 2 8 0.331466492636769
"22" 0 0 2 0.164452827578792 0 2 -4.10829445025144 -3.49486830396604 -2.82697885777385 0 0 0 6 2 2 0.901586130936928
"23" 1 1 1 1.04133742207486 1 2 -0.175094605213117 -0.419242675510589 0.388332696602317 1 0 1 0 1 0 1.39211996518029
"24" 0 1 2 0.251164048771062 1 2 -2.95633272284596 -1.82613390394494 -2.38013029298808 0 0 0 2 1 3 1.35873350086922
"25" 1 1 2 1.06499667088505 0 0 -1.5416637842896 -3.57255396010743 -0.954143105512067 0 0 0 3 3 4 2.12002708920836
"26" 0 1 0 -0.177571814561955 1 2 -3.49843228513188 -2.02912541286297 -3.83621712938491 0 0 0 7 1 1 -0.396276971602722
"27" 0 0 2 -0.0554861511151404 0 2 -4.97902804099989 -3.81402193803125 -3.47904587641343 0 0 0 2 7 5 -0.265766716999124
"28" 0 0 2 0.0387642056223284 1 1 -3.30828661861445 -1.35958384520227 -3.81227750152416 0 0 0 3 2 6 -0.224437807081031
"29" 0 0 2 0.238607527691146 1 1 -3.46792811806751 -1.47753772228346 -3.2786851633555 0 0 0 6 1 5 0.439355767407157
"30" 0 1 0 -0.048349736275879 0 2 -4.79277711541684 -4.03494837363065 -3.22386882765399 0 0 0 7 2 2 0.966853189012249
"31" 1 0 0 0.637185252508409 1 2 -1.47315492022607 -1.32242551544212 -1.32636884547559 0 0 0 0 0 1 2.0543745983299
"32" 0 1 2 0.270117758412621 0 2 -3.91783667204254 -3.20417869974898 -2.19353653594134 0 0 0 8 2 2 0.842251122849303
"33" 1 0 0 0.13257198480356 1 0 -2.45055110755773 -2.49131778074129 -3.78307481202923 0 0 0 1 3 5 -0.688119450598646
"34" 1 1 0 0.52495204059706 1 1 -2.05954446289549 -0.374523096846366 -1.86912869260149 0 0 0 2 0 2 0.860038274251732
"35" 0 0 0 -0.129588475219135 1 2 -3.9842342342781 -2.5062510860936 -3.48708539330954 0 0 1 5 1 3 1.29688271828066
"36" 1 0 0 0.194740229389525 1 1 -2.7355206575889 -0.685313195779281 -2.61771399326755 1 0 0 4 0 0 0.12781725110139
"37" 0 0 2 -0.0373232514086337 0 1 -5.29500591317503 -2.72967236255693 -3.39446262902278 0 0 0 5 1 4 0.368434578144973
"38" 0 1 1 0.374710988878972 0 2 -3.58941404757073 -2.82838042975715 -2.13414118931357 0 1 0 1 4 2 0.579863380206359
"39" 0 0 2 0.0987549781565219 1 1 -3.8056961677214 -1.54606730212485 -3.23095937326106 0 0 0 2 3 3 0.32369494208268
"40" 0 0 2 0.472955787452697 1 0 -2.22322921703423 -3.05503491604021 -3.53680287526505 0 0 0 1 1 4 2.34524977784588
"41" 0 0 2 0.361232793907805 0 2 -4.12720460456478 -3.52954471162685 -2.76179020795289 0 0 0 2 2 1 1.20438635727822
"42" 0 1 1 0.0789522467439808 0 2 -4.55083284933511 -2.71337526723005 -2.38952276458118 0 0 0 1 2 4 0.532845282049041
"43" 0 0 0 0.115355725369741 0 0 -4.7411548164462 -4.74580266402467 -4.09295194630689 0 0 0 9 5 8 2.77308668662544
"44" 0 1 0 -0.00456621952926525 1 2 -3.6118033065125 -1.84828924416559 -3.11802951033831 0 0 0 6 1 2 1.02747417081461
"45" 0 1 1 0.324371102748395 1 1 -2.79266055996351 -1.02411955407629 -2.3536552034674 0 1 1 2 1 5 0.505559508164352
"46" 0 1 0 -0.111549204062035 1 0 -3.44818874567245 -3.28782839379271 -4.92408519841919 0 0 0 7 2 5 -0.57374686753834
"47" 0 0 1 0.13678786626532 1 0 -3.24036926541182 -2.99808479641305 -3.94893646159819 0 0 0 3 2 1 0.740018229606337
"48" 1 1 1 0.720420511563879 0 1 -2.08990058925863 -1.4072868563595 -0.729308015149867 0 0 1 1 1 1 0.810373868756536
"49" 0 0 1 0.0098193211585151 1 2 -3.59431292616337 -2.03391577100879 -2.892858966259 0 0 0 3 4 5 -0.308023372246714
"50" 1 0 2 0.563433591778996 1 0 -1.57896398507453 -2.42245780745803 -2.69086737512932 1 0 0 2 1 3 0.618027529416961
"51" 0 1 1 0.298141021241925 1 2 -2.3961047442118 -1.79990398738528 -1.81232433932965 0 0 1 0 0 1 1.78386509090396
"52" 0 1 0 0.132822456151213 1 2 -3.13362565996826 -1.88465392053155 -2.61203314029225 0 0 1 4 2 3 1.5357613287241
"53" 0 1 1 0.134580309340492 0 2 -3.96992682489374 -3.02384383692238 -2.4630950431108 0 0 0 8 6 1 0.00599933430241018
"54" 0 0 0 0.0283207240582363 0 2 -4.61146827528187 -3.68576444969142 -3.09859428984431 0 0 0 4 6 2 1.45187421130909
"55" 0 0 2 0.0878198969022372 1 1 -3.41566781183019 -1.6331053132584 -3.52877033276453 0 0 0 2 0 3 0.51381709757318
"56" 0 1 0 0.197465248896814 0 2 -4.40414821902962 -3.74459237490087 -2.56893858991486 0 0 0 5 2 3 0.582695727411376
"57" 0 1 0 0.0602175787203231 0 2 -4.46452091310007 -3.24295643267991 -2.83311990269185 0 0 0 3 6 2 1.24402833745896
"58" 0 0 1 0.264528638038982 0 2 -3.82825432661109 -3.84512509558438 -2.84367220107244 0 0 0 1 3 3 0.577474068647634
"59" 1 0 0 0.267175477476639 1 2 -2.58438063190295 -1.45941895075175 -2.00217533485083 0 0 1 5 1 3 -0.479699510111609
"60" 1 0 0 0.438711517182826 1 2 -2.27586507769496 -1.07114551734391 -1.949020415281 0 0 0 3 1 2 1.01402028411295
"61" 1 0 2 1.22197571535186 1 1 0.171598091088136 -0.173685557309444 -0.0147574731918892 1 0 1 0 0 0 3.27956966271147
"62" 1 1 2 0.76878205506227 1 1 -0.894376572575089 0.0694310133956948 -1.02537094683766 1 0 0 0 0 0 0.482381710447519
"63" 1 1 1 0.672988647762492 1 2 -0.6043764692272 -0.189806980842611 -0.332712074773978 0 1 1 0 0 0 0.96483463261208
"64" 0 0 2 0.183410003438073 0 0 -4.0849489397852 -4.5582731304371 -4.42910189278758 0 0 0 5 5 5 0.589401894298958
"65" 1 1 1 0.980476081186952 1 1 -0.0797741876968477 0.275892620666149 -0.0766879944020873 0 0 1 0 0 0 1.4758731287589
"66" 1 0 1 0.722626610703259 1 1 -1.20064151461197 -0.554475925323575 -0.932644570551827 0 0 1 1 0 1 0.95770010253164
"67" 0 0 0 0.0419396952267422 0 2 -4.97285987699116 -3.76069999655186 -3.65241039922184 0 0 0 4 6 4 1.29370173343342
"68" 0 0 0 -0.538473311933147 0 1 -5.88663819495264 -3.7075148235145 -5.011516838768 0 0 0 2 4 4 -2.03209394467075
"69" 1 0 0 0.886991489007461 1 2 -0.966716038437288 -0.980703618014503 -0.854587055190426 0 1 0 1 1 1 2.9001323225762
