"A" "M_bin" "Ycen_int" "Y_cont_int" "Y_bin_int" "Y_count_int" "cen" "C" "delta"
"1" 0 1 0.0307458821236637 -3.56718649977138 0 3 0.0715068342410392 1.42709994737355 0
"2" 0 0 0.0215995100033466 -1.18302326026976 0 1 0.0715068342410392 0.768598555917843 0
"3" 0 1 0.0554342730606822 -2.66290473659676 0 5 0.0715068342410392 1.40399308824373 0
"4" 0 1 0.00244774810941702 -3.20818499936781 0 4 0.0715068342410392 0.45007847128902 0
"5" 0 0 0.00160693512325542 -1.82938390884897 0 3 0.0715068342410392 0.30685960381358 0
"6" 0 1 0.0136807938623138 -2.983991046735 0 2 0.0715068342410392 -0.372565175096797 0
"7" 1 0 0.0253624397306554 -3.94417108473104 0 6 0.0715068342410392 0.922578690491061 0
"8" 0 0 0.0155095278948872 -1.34552316921952 1 9 0.0715068342410392 0.89395416491228 0
"9" 0 0 0.00247870999294316 -2.47917602660107 1 5 0.0715068342410392 1.44066521478613 0
"10" 0 0 0.00377464488488722 -1.67508634192263 0 6 0.0715068342410392 0.715095425763123 0
"11" 1 0 0.0224391673217262 -3.00015872628453 0 3 0.0715068342410392 1.63017407418313 0
"12" 1 0 0.0128832272123667 -1.95552433006091 0 1 0.0715068342410392 -0.60761340579032 0
"13" 0 1 0.0573340988805535 -1.44870778120064 0 3 0.0715068342410392 0.0845502760426293 0
"14" 0 1 0.0715068342410392 -2.91095312408649 0 2 0.0715068342410392 -0.584764415956269 1
"15" 1 1 0.0271773785184696 -2.36324196800277 0 2 0.0715068342410392 -0.115796811000085 0
"16" 1 1 0.000699252176977201 -2.4762470080276 0 3 0.0715068342410392 1.68572803311131 0
"17" 0 1 0.035413436761192 -2.407497969657 0 5 0.0715068342410392 2.13508763383058 0
"18" 0 1 0.0273962903528799 -2.83267459413886 0 2 0.0715068342410392 2.09280919355302 0
"19" 0 0 0.039335098108762 -2.87047722447977 0 4 0.0715068342410392 -0.0839065442870499 0
"20" 1 0 0.0715068342410392 -2.70761966989214 0 2 0.0715068342410392 0.0435411738387445 1
"21" 0 0 0.0677463195717145 -3.39524446172289 0 3 0.0715068342410392 -0.613346849337158 0
"22" 1 1 0.0715068342410392 -2.5831005630942 0 5 0.0715068342410392 1.99794902251801 1
"23" 0 0 0.0715068342410392 -4.06377225589401 0 5 0.0715068342410392 1.801066684137 1
"24" 1 0 0.0111514116486619 -2.82724259252472 0 4 0.0715068342410392 1.8201047760212 0
"25" 0 1 0.0127025381245027 -3.9893231957615 0 0 0.0715068342410392 0.907206235377292 0
"26" 0 0 0.0544525060965903 -4.39172183518557 0 4 0.0715068342410392 0.687748142337789 0
"27" 1 1 0.0715068342410392 -0.356534154787105 1 3 0.0715068342410392 2.93903076500336 1
"28" 1 1 0.0168572810986079 -2.34617323786732 0 3 0.0715068342410392 0.319515920143305 0
"29" 0 1 0.036769371501822 -4.49111607160156 0 1 0.0715068342410392 0.950920794601604 0
"30" 0 0 0.00446659623489763 -1.64686583793828 0 3 0.0715068342410392 1.12000937081117 0
"31" 0 1 0.0405466415370524 -2.53545544805548 0 2 0.0715068342410392 -0.308588787887879 0
"32" 1 1 0.0238830911250344 -2.48159278544571 0 2 0.0715068342410392 1.59255501738923 0
"33" 0 1 0.0199788606751615 -5.33208154782361 1 2 0.0715068342410392 -0.0403843740072645 0
"34" 1 0 0.0352965456115903 -4.58216449180074 0 2 0.0715068342410392 -0.195258393896444 0
"35" 1 0 0.0386200301473947 -2.55941468268714 0 0 0.0715068342410392 -0.835423309976087 0
"36" 1 0 0.0360697171755444 -3.55866626128538 0 3 0.0715068342410392 1.09616533076723 0
"37" 0 0 0.0715068342410392 -4.20829642427819 0 4 0.0715068342410392 1.19065479294453 1
"38" 1 1 0.0715068342410392 -3.30543464203819 0 2 0.0715068342410392 1.36148211784239 1
"39" 1 1 0.0191900623432221 -4.17415547660052 0 1 0.0715068342410392 1.93399699763769 0
"40" 0 1 0.0715068342410392 -3.68301966822205 0 1 0.0715068342410392 0.147082491852023 1
"41" 0 1 0.033476046197359 -2.66647946114453 0 1 0.0715068342410392 0.616968875396162 0
"42" 1 0 0.0668416163317868 -3.90239543846176 0 2 0.0715068342410392 1.12037628525467 0
"43" 1 1 0.00927243851067863 -2.48709564607473 0 2 0.0715068342410392 1.93073100234741 0
"44" 1 0 0.0657510480571907 -1.40562937201968 0 3 0.0715068342410392 1.15253204734302 0
"45" 1 0 0.0715068342410392 -3.82657449904893 0 6 0.0715068342410392 3.280282024176 1
"46" 0 1 0.0715068342410392 -2.35846570223821 0 2 0.0715068342410392 2.33701597866434 1
"47" 1 1 0.0639427225161759 -1.77784577179579 0 2 0.0715068342410392 0.354500165955198 0
"48" 1 1 0.0715068342410392 -2.19453921051028 0 0 0.0715068342410392 0.885664690174129 1
"49" 0 0 0.0157578150175351 -2.85987212809556 0 3 0.0715068342410392 0.417976452899721 0
"50" 0 1 0.0605428550362403 -2.40268143398629 0 2 0.0715068342410392 -0.70285947477036 0
"51" 0 1 0.0684857505331028 -3.52899603815061 0 2 0.0715068342410392 0.737638180382835 0
"52" 0 0 0.0058466715918525 -2.41015180794147 1 4 0.0715068342410392 0.84339349067095 0
