"A" "M_bin" "Ycen_noint" "Y_cont_noint" "Y_bin_noint" "Y_count_noint" "cen" "C" "delta"
"1" 0 1 0.0540098602576439 -2.52918125428577 0 3 0.0686334816700916 1.42709994737355 0
"2" 0 0 0.0585686644943559 -2.44436344530267 0 3 0.0686334816700916 0.768598555917843 0
"3" 0 1 0.0343428483366432 -2.8072334971151 0 1 0.0686334816700916 1.40399308824373 0
"4" 0 1 0.0104951537419271 -4.33042028592734 0 0 0.0686334816700916 0.45007847128902 0
"5" 0 0 0.00263350891976423 -2.4977015024374 0 2 0.0686334816700916 0.30685960381358 0
"6" 0 1 0.00182158824317236 -1.77323865285618 0 5 0.0686334816700916 -0.372565175096797 0
"7" 1 0 0.0686334816700916 -2.96896989357073 0 2 0.0686334816700916 0.922578690491061 1
"8" 0 0 0.0525997491883847 -1.38436383909011 0 4 0.0686334816700916 0.89395416491228 0
"9" 0 0 0.0543905842846049 -3.67410847664426 0 7 0.0686334816700916 1.44066521478613 0
"10" 0 0 0.0378766106852202 -2.23005677287642 0 4 0.0686334816700916 0.715095425763123 0
"11" 1 0 0.029100948692604 -3.09928723789719 0 2 0.0686334816700916 1.63017407418313 0
"12" 1 0 0.00932626288806966 -4.25823923148806 0 7 0.0686334816700916 -0.60761340579032 0
"13" 0 1 0.00098686281719711 -3.70792342971534 0 4 0.0686334816700916 0.0845502760426293 0
"14" 0 1 0.00041301037705402 -4.89510758574161 0 3 0.0686334816700916 -0.584764415956269 0
"15" 1 1 0.0151163381315196 -4.06731433432819 0 2 0.0686334816700916 -0.115796811000085 0
"16" 1 1 0.0686334816700916 -2.58649921858135 0 4 0.0686334816700916 1.68572803311131 1
"17" 0 1 0.0127275643144915 -4.70697373824939 0 2 0.0686334816700916 2.13508763383058 0
"18" 0 1 0.0570368407645823 -1.95883118025347 0 5 0.0686334816700916 2.09280919355302 0
"19" 0 0 0.0353552516039666 -4.19641080012909 0 4 0.0686334816700916 -0.0839065442870499 0
"20" 1 0 0.0159697132596902 -3.14135327109128 0 2 0.0686334816700916 0.0435411738387445 0
"21" 0 0 0.0393690808115289 -3.41226618989558 0 3 0.0686334816700916 -0.613346849337158 0
"22" 1 1 0.024000649273146 -2.64523597882152 0 0 0.0686334816700916 1.99794902251801 0
