"A" "M_cont" "M_bin" "M_cat" "contY_binM_int" "contY_contM_int" "contY_catM_int" "binY_binM_int" "binY_contM_int" "binY_catM_int" "countY_binM_int" "countY_contM_int" "countY_catM_int" "Ycen_binM_int" "Ycen_contM_int" "Ycen_catM_int" "cens_binM" "cens_contM" "cens_catM" "delta_binM" "delta_contM" "delta_catM" "C"
"1" 0 -0.0173973422054521 1 1 -3.2528466500249 -4.70764677139415 -3.06864127232876 0 0 0 5 4 3 0.0108912042227935 0.0114163226475764 0.00700588148668131 1 1 1 0 0 0 1.42709994737355
"2" 0 0.0287316737343458 0 2 -5.088415504164 -4.80548605768266 -3.98560556685567 0 0 0 5 6 4 0.00178742975968932 0.00981674464161155 0.00570522737601891 1 1 1 0 0 0 0.768598555917843
"3" 0 -0.0204575021629101 1 1 -3.16238939934971 -5.20951564597183 -3.15291824016834 1 0 0 4 5 4 0.0501396617332549 0.00793183356906416 0.0114104071499353 1 1 1 0 0 0 1.40399308824373
"4" 0 -0.17330382322215 1 1 -2.99518962499139 -4.81647799922669 -3.0521870980405 0 0 0 5 8 5 0.0545178706239442 0.00802280284684597 0.039646118647001 0 1 1 1 0 0 0.45007847128902
"5" 0 -0.196101106834952 0 2 -5.0023089628638 -5.15392465088553 -3.83834831068754 0 0 0 5 6 2 0.0071853179576575 0.0101599543600828 0.0445283081453219 1 1 1 0 0 0 0.30685960381358
"6" 0 -0.138224793308774 1 1 -3.07159026095822 -5.23138492688623 -3.18581015072005 0 0 0 1 4 1 0.00698139032580698 0.000263983559005475 0.034747247813394 1 1 1 0 0 0 -0.372565175096797
"7" 1 0.434125431415321 0 2 -3.98808879264535 -3.38947405875976 -2.4771771199808 0 0 0 2 2 3 0.000844754102924005 0.023934666332045 0.0548107245394394 1 0 0 0 1 1 0.922578690491061
"8" 0 -0.0466407015721383 0 2 -4.40679091426936 -5.14201226839323 -3.38126463535481 0 0 0 4 7 2 0.000305976743405443 0.00371647877252364 0.0462998789234004 1 1 1 0 0 0 0.89395416491228
"9" 0 0.145610654448289 0 2 -5.05142311436556 -4.36751584697531 -3.54186683189023 0 0 0 5 2 3 0.0196770754530498 0.00594024762774335 0.0548107245394394 1 1 0 0 0 1 1.44066521478613
"10" 0 -0.147604641552674 0 2 -5.28322487363225 -5.29286198532897 -3.37267112913963 0 0 1 2 5 2 0.00356114978692517 0.00182714844648843 0.0215352764915778 1 1 1 0 0 0 0.715095425763123
"11" 1 0.667295554463625 0 2 -3.7834189551574 -2.72487756258918 -2.25893198598085 0 0 0 4 2 1 0.0221172548240563 0.0170224031100931 0.0402703944942939 1 1 1 0 0 0 1.63017407418313
"12" 1 0.177499177703942 1 1 -2.24055026887872 -4.05436777164995 -2.39823077141334 0 0 0 2 5 2 0.0545178706239442 0.0061992072703402 0.000738656946143968 0 1 1 1 0 0 -0.60761340579032
"13" 0 -0.495652892934549 1 2 -3.29888087950653 -5.86532130055218 -3.89954450056874 0 0 0 2 8 3 0.0545178706239442 0.000197984285903437 0.0196621327639111 0 1 1 1 0 0 0.0845502760426293
"14" 0 -0.431051872116666 1 2 -3.57604652184361 -5.61272953003274 -3.95611830321441 0 0 0 1 7 5 0.0224016834078268 0.00745005827197367 0.0146896900966566 1 1 1 0 0 0 -0.584764415956269
"15" 1 0.403714750800793 1 0 -2.11977061575332 -3.58517747949025 -4.36689769713221 0 0 0 1 3 8 0.0545178706239442 0.023934666332045 0.00134256020209626 0 0 1 1 1 0 -0.115796811000085
"16" 1 0.748011844427818 1 1 -2.20273519300362 -2.63786099352303 -1.88805145911517 0 1 0 3 1 1 0.0545178706239442 0.023934666332045 0.0532287476264847 0 0 1 1 1 0 1.68572803311131
"17" 0 0.219192187384034 1 0 -2.63525278906042 -4.49194434374952 -4.47355333932152 0 0 0 1 7 4 0.0545178706239442 0.00130645999879457 0.00715468503746606 0 1 1 1 0 0 2.13508763383058
"18" 0 0.24773843855695 1 1 -3.00859587411325 -4.16401333555211 -3.28976267860106 0 0 0 9 2 1 0.0545178706239442 0.023934666332045 0.0212996257806658 0 0 1 1 1 0 2.09280919355302
"19" 0 -0.572751719797953 0 0 -4.98151438990316 -6.38737291618135 -5.08412765043439 0 0 0 5 3 6 0.00507694847529429 0.00277988549641829 0.00425655029422327 1 1 1 0 0 0 -0.0839065442870499
"20" 1 0.319604516120866 0 0 -4.38589053059424 -3.53919850387022 -3.78767354582938 0 0 0 2 5 4 0.0452097886767656 0.00816448989794984 0.0147101090166277 1 1 1 0 0 0 0.0435411738387445
"21" 0 -0.439522720603755 0 0 -5.10469836507049 -5.69271318005554 -5.15758725482442 0 0 0 5 4 2 0.00774525630083906 0.00324950737339863 0.00478978875914264 1 1 1 0 0 0 -0.613346849337158
"22" 1 0.639748417597294 1 2 -2.19436590777695 -2.60710454229412 -2.71729244454954 0 0 0 3 4 1 0.0427129114228311 0.0134564195501663 0.00103842743891244 1 1 1 0 0 0 1.99794902251801
"23" 0 0.149425333345428 0 0 -4.66613879704231 -4.39691234038308 -4.98826389939006 0 0 0 6 5 1 0.00768630962955167 0.00542925603663239 0.00519210355959145 1 1 1 0 0 0 1.801066684137
"24" 1 0.649894305291161 0 1 -4.29519881091672 -2.39690239861048 -1.66427298731095 0 0 0 4 3 1 0.0180446423100052 0.023934666332045 0.0548107245394394 1 0 0 0 1 1 1.8201047760212
"25" 0 0.0434439559962945 1 2 -3.07687030601487 -4.93355125289462 -4.16932006961478 0 0 0 0 0 2 0.0545178706239442 0.00617100755714991 0.0172544526413413 0 1 1 1 0 0 0.907206235377292
"26" 0 -0.252078068692714 0 0 -4.51176760147195 -5.14303378775812 -4.5153058441093 0 0 0 7 6 4 0.000713624343562286 0.00624593757065503 0.00110820454586667 1 1 1 0 0 0 0.687748142337789
"27" 1 0.71122948130076 1 1 -1.73554653047429 -2.53312424838293 -1.88200599922861 0 0 0 1 3 1 0.0186543343046333 0.023934666332045 0.0548107245394394 1 0 0 0 1 1 2.93903076500336
"28" 1 0.191459403320558 1 1 -2.12356706093563 -3.98831793156033 -1.8619781337552 0 0 0 1 4 2 0.0315942602827031 0.023934666332045 0.0436175448175675 1 0 1 0 1 0 0.319515920143305
"29" 0 -0.115880264338963 1 2 -3.25409383167754 -5.1573005304165 -3.82220889490947 0 0 0 3 4 4 0.0144087333948476 0.00562049436072495 0.0418327055328631 1 1 1 0 0 0 0.950920794601604
"30" 0 -0.0293128069365413 0 2 -4.88321410714736 -5.32041522222632 -3.88147325717481 0 0 0 7 10 4 0.00281749432941071 0.023934666332045 0.0548107245394394 1 0 0 0 1 1 1.12000937081117
"31" 0 -0.206280297744585 1 0 -3.20962041990532 -5.75890348634363 -5.14490490134368 0 0 0 5 7 2 0.0108445355111436 0.0140520043208473 0.00109784894910815 1 1 1 0 0 0 -0.308588787887879
"32" 1 0.552736115762776 1 0 -2.13046788863008 -2.51754548850922 -3.93317251544116 0 0 0 2 3 5 0.0477586315879161 0.023934666332045 0.0300645372346285 1 0 1 0 1 0 1.59255501738923
"33" 0 -0.426888819861318 1 1 -3.36832723967986 -5.78365210474004 -3.29753187134816 0 0 0 3 10 3 0.0159665978113735 0.00467408626794498 0.00103951339312479 1 1 1 0 0 0 -0.0403843740072645
"34" 1 0.196952148645885 0 0 -4.59142617084275 -3.87139209242007 -4.12093474699296 0 0 0 5 3 3 0.0119203500635759 0.019680888040015 0.01135917700378 1 1 1 0 0 0 -0.195258393896444
"35" 1 0.112603609832848 1 1 -2.30694406729964 -3.81914097290312 -2.11089488023384 0 0 0 2 2 1 0.0545178706239442 0.0236617828227883 0.0548107245394394 0 1 0 1 0 1 -0.835423309976087
"36" 1 0.382014791263585 0 2 -4.04423578411643 -3.38816998462225 -2.42219540680496 0 0 0 2 3 1 0.0143409797796533 0.023934666332045 0.0548107245394394 1 0 0 0 1 1 1.09616533076723
