"A" "M_cont" "M_bin" "M_cat" "contY_binMcontM_EMMint" "contY_catMbinM_EMMint" "contY_catMcontM_EMMint" "binY_binMcontM_EMMint" "binY_catMbinM_EMMint" "binY_catMcontM_EMMint" "countY_binMcontM_EMMint" "countY_catMbinM_EMMint" "countY_catMcontM_EMMint" "C"
"1" 0 -0.0173973422054521 1 1 -3.92119689918819 -1.60337939792865 -3.7328723526288 0 0 0 1 4 6 1.42709994737355
"2" 0 0.0287316737343458 0 2 -5.04215190552167 -3.74347384731282 -3.18227740286516 0 0 0 3 4 4 0.768598555917843
"3" 0 -0.0204575021629101 1 1 -4.01606288523741 -1.52969991384606 -3.98918044438988 0 0 0 2 2 3 1.40399308824373
"4" 0 -0.17330382322215 1 1 -4.06999394270016 -1.9837580198839 -3.81760946974692 0 0 0 6 0 4 0.45007847128902
"5" 0 -0.196101106834952 0 2 -5.35465600862535 -3.40234937634244 -3.97076805570732 0 0 0 4 1 2 0.30685960381358
"6" 0 -0.138224793308774 1 1 -4.25865867316317 -1.7779555309796 -4.14000588559855 0 0 0 3 3 8 -0.372565175096797
"7" 1 0.434125431415321 0 2 -3.34306091075632 -2.92955164070251 -1.45687018131757 0 0 0 2 3 3 0.922578690491061
"8" 0 -0.0466407015721383 0 2 -4.70264513070326 -3.49792909668467 -3.77063422219412 0 0 0 9 5 2 0.89395416491228
"9" 0 0.145610654448289 0 2 -4.56574392259067 -3.7407662453697 -2.90549993464572 0 0 0 6 5 1 1.44066521478613
"10" 0 -0.147604641552674 0 2 -5.33631826079779 -3.75464747086135 -3.79957421771896 0 0 0 6 4 2 0.715095425763123
"11" 1 0.667295554463625 0 2 -2.69401159420164 -3.08387767080903 -1.07317778630467 0 0 0 3 3 0 1.63017407418313
"12" 1 0.177499177703942 1 1 -2.79795903021776 -0.675360863977141 -2.33795634167194 0 0 0 5 1 1 -0.60761340579032
"13" 0 -0.495652892934549 1 2 -4.62798853801281 -2.09085297538145 -4.05976950275224 0 1 0 5 3 1 0.0845502760426293
"14" 0 -0.431051872116666 1 2 -4.70083523743485 -2.45274434156827 -4.15068310518943 0 0 1 3 1 4 -0.584764415956269
"15" 1 0.403714750800793 1 0 -2.55936470675225 -2.83177497634023 -3.5796555749316 0 0 0 3 5 5 -0.115796811000085
"16" 1 0.748011844427818 1 1 -1.12097519359758 -1.02975612019787 -1.39645174113236 0 0 0 1 0 0 1.68572803311131
"17" 0 0.219192187384034 1 0 -2.99042577481698 -3.51964105903402 -4.46783208931721 0 0 0 6 3 11 2.13508763383058
"18" 0 0.24773843855695 1 1 -2.93722597022165 -1.53463488997349 -3.19820602232929 0 0 1 3 1 3 2.09280919355302
"19" 0 -0.572751719797953 0 0 -6.26437792055572 -4.88424370793612 -5.84102890951284 0 0 0 4 9 6 -0.0839065442870499
"20" 1 0.319604516120866 0 0 -3.78807241554403 -4.22821869129048 -3.26560424711664 1 0 0 4 5 6 0.0435411738387445
"21" 0 -0.439522720603755 0 0 -6.046126099051 -4.86437065853966 -5.80356692819527 0 0 0 4 7 5 -0.613346849337158
"22" 1 0.639748417597294 1 2 -1.32463486515557 -0.312473550409559 -0.977813339014461 0 1 0 1 0 3 1.99794902251801
"23" 0 0.149425333345428 0 0 -4.45382680943424 -4.87983179853281 -4.63506656827904 0 1 0 6 7 3 1.801066684137
"24" 1 0.649894305291161 0 1 -2.95099208345061 -2.28296669670362 -1.56520058769419 0 0 0 1 5 1 1.8201047760212
"25" 0 0.0434439559962945 1 2 -3.68094244356601 -1.97979773396137 -3.24617158075275 0 0 0 3 0 6 0.907206235377292
"26" 0 -0.252078068692714 0 0 -5.51231915279952 -5.07213362830469 -5.40498466371892 0 0 0 8 5 10 0.687748142337789
"27" 1 0.71122948130076 1 1 -1.1129043636902 -0.342625046472785 -1.43928756299096 1 0 1 0 1 2 2.93903076500336
"28" 1 0.191459403320558 1 1 -2.81468067828278 -1.14510166048658 -2.49771528725903 0 0 0 3 0 5 0.319515920143305
"29" 0 -0.115880264338963 1 2 -3.36752191387915 -1.78847658304594 -3.78212070363116 0 0 0 4 3 3 0.950920794601604
"30" 0 -0.0293128069365413 0 2 -4.76685819416504 -3.80578031766239 -3.1634290281179 0 0 0 5 1 5 1.12000937081117
"31" 0 -0.206280297744585 1 0 -3.77717792674069 -3.56239968318381 -5.73312623559718 0 0 0 2 1 2 -0.308588787887879
"32" 1 0.552736115762776 1 0 -1.68707488346727 -2.51844851696108 -2.68981147668007 0 0 0 5 0 3 1.59255501738923
"33" 0 -0.426888819861318 1 1 -4.87698419122684 -1.78190687289339 -4.69607858211244 0 0 0 5 5 6 -0.0403843740072645
"34" 1 0.196952148645885 0 0 -3.61425478487077 -4.11995212369655 -3.58642176995939 0 0 0 4 3 2 -0.195258393896444
"35" 1 0.112603609832848 1 1 -2.64643376919083 -0.773375058529383 -3.00564358168724 0 1 0 3 1 4 -0.835423309976087
"36" 1 0.382014791263585 0 2 -3.50231054473645 -3.08062337935677 -1.51708354636891 0 0 0 4 3 2 1.09616533076723
"37" 0 -0.0750255835965961 0 0 -4.99003887038521 -4.55930425153803 -5.09465861229707 0 0 0 6 6 5 1.19065479294453
"38" 1 0.480282761589114 1 1 -1.92542628678341 -0.782872094986741 -1.76834087104416 0 0 0 2 1 2 1.36148211784239
