"A" "M_cont1" "M_cont2" "M_bin1" "M_bin2" "contY_2contM_EMint" "contY_binMcontM_EMint" "contY_2binM_EMint" "binY_2contM_EMint" "binY_binMcontM_EMint" "binY_binMcontM_EMint" "binY_2binM_EMint" "C"
"1" 0 0.0589952993338887 0.0118341452342003 1 1 -4.78298688484661 -2.31721280377154 -1.14605548901397 0 0 0 1 1.42709994737355
"2" 0 -0.022060703696689 -0.154784820142285 0 0 -5.1689248981376 -4.37616798206408 -4.85661974874286 0 0 0 0 0.768598555917843
"3" 0 -0.00312402433618537 -0.0386214186111525 1 0 -4.88166885998458 -2.65410922557821 -2.23865023190993 0 0 0 0 1.40399308824373
"4" 0 -0.0438355775168624 -0.166503912627891 1 1 -5.56246675456772 -2.73322604532278 -2.04376254019532 0 0 0 0 0.45007847128902
"5" 0 -0.0432148622630727 -0.224122107207821 0 0 -4.94908265706535 -5.01621409621331 -4.72117901983734 0 0 0 0 0.30685960381358
"6" 0 -0.412492780331683 -0.49806831637789 1 1 -6.41812451523009 -3.97247518158917 -2.24929474606909 0 0 0 0 -0.372565175096797
"7" 1 0.451031400503345 0.368401328970818 0 1 -2.45763415314117 -2.72900654438039 -1.97883442538125 0 0 0 0 0.922578690491061
"8" 0 0.0152293656693512 0.114142607291364 0 0 -4.5335451097302 -4.72142863810491 -4.58382447137154 0 0 0 0 0.89395416491228
"9" 0 0.226875962464305 0.146244753397736 0 1 -4.35689580885667 -3.67501535030242 -2.96061596150684 0 0 0 0 1.44066521478613
"10" 0 -0.0421518278033824 -0.15654109656071 0 0 -5.21837007678029 -4.72692034340665 -4.6606190092665 0 0 0 0 0.715095425763123
"11" 1 0.412999525508112 0.659971722427698 0 0 -2.23672405370525 -2.56534172822011 -3.60647820064786 0 0 0 0 1.63017407418313
"12" 1 0.0971345236219703 -0.128382044260401 1 1 -4.14764927810105 -1.64134616217983 -0.381510657209284 0 1 1 0 -0.60761340579032
"13" 0 -0.210363709000713 -0.246769096354656 1 0 -5.46563056720832 -3.07775560824959 -3.37829837741176 0 0 0 0 0.0845502760426293
"14" 0 -0.4472431325095 -0.508662037801496 1 0 -6.56817642544716 -3.90386370236896 -3.32211950724089 0 0 0 0 -0.584764415956269
"15" 1 0.242312631143005 -0.112346306926939 1 0 -3.92997875268012 -1.57654032204426 -1.88827158829968 0 0 0 1 -0.115796811000085
"16" 1 0.668219771275037 0.712932567051219 1 1 -1.78533656185583 0.219540220607718 0.679766403397972 0 1 1 1 1.68572803311131
"17" 0 0.231625897576632 0.441286052403524 1 0 -4.07317118051186 -1.71688313260122 -1.70722687227372 0 1 1 0 2.13508763383058
"18" 0 0.059500159609068 0.431624718576175 1 1 -4.20958494038576 -1.92633042342441 -0.789247837666461 1 0 0 0 2.09280919355302
"19" 0 -0.222469013871755 -0.437689048531462 0 0 -5.80991479114303 -5.11899190266616 -4.76788594585306 0 0 0 0 -0.0839065442870499
"20" 1 0.274609660017 0.0292050211788939 0 1 -3.52242747336345 -3.37974633318763 -2.34266109765791 0 0 0 0 0.0435411738387445
"21" 0 -0.329017533702268 -0.580829313316409 0 1 -6.15359739518344 -5.71392049621981 -4.31783204984623 0 0 0 0 -0.613346849337158
"22" 1 0.724850140337748 0.797421405454422 1 0 -0.396958964871889 0.673474878070891 -0.295698739476157 0 1 1 0 1.99794902251801
"23" 0 0.165791222993201 0.288870466306244 0 0 -4.23476303757756 -3.80454935864047 -4.0080739509837 0 0 0 0 1.801066684137
"24" 1 0.527238114596599 0.594625277517949 0 0 -1.86619477764307 -2.31135582691135 -3.35223849510807 0 0 0 1 1.8201047760212
"25" 0 -0.0764863340067756 -0.0527692233353463 1 0 -4.88079620317598 -2.66255118466557 -2.62633675957716 0 0 0 0 0.907206235377292
"26" 0 -0.0847188608355143 -0.157352278991869 0 0 -5.41345031259886 -4.70903270190576 -4.22652643635741 0 0 0 0 0.687748142337789
"27" 1 0.812431489769826 1.06707602810498 1 1 -0.185467826057235 1.10765924054092 1.51084216170929 1 1 1 1 2.93903076500336
"28" 1 0.434865197435081 0.0810792375738806 1 0 -3.47169840652418 -0.825091817932363 -1.36390885594056 0 1 1 0 0.319515920143305
"29" 0 -0.114720246599366 0.258261479615894 1 1 -4.38505925138572 -2.93574012643947 -1.77080476789132 0 0 0 1 0.950920794601604
"30" 0 -0.0339081229365145 0.122954771863161 0 0 -4.91926921271232 -4.09135103775035 -4.43042728653478 0 0 0 0 1.12000937081117
"31" 0 -0.515689414895139 -0.180083892372188 1 1 -6.20674130084169 -4.33494339147504 -2.21067910730693 0 0 0 0 -0.308588787887879
"32" 1 0.544332170926516 0.601865196850897 1 0 -1.74906699177601 0.38247249712397 -0.832740739036651 0 0 0 0 1.59255501738923
"33" 0 -0.224704908000556 -0.46438825124005 1 1 -6.04364160878245 -3.61751678296637 -1.84459935954863 0 0 0 1 -0.0403843740072645
