"A" "L_bin" "L_cat" "M_cont" "M_bin" "M_cat" "contY_binMcontM_EMint" "contY_catMbinM_EMint" "contY_catMcontM_EMint" "binY_binMcontM_EMint" "binY_catMbinM_EMint" "binY_catMcontM_EMint" "countY_binMcontM_EMint" "countY_catMbinM_EMint" "countY_catMcontM_EMint" "C"
"1" 0 1 2 0.366186793070529 1 2 -2.5442431704017 -1.70155713665898 -2.2004692351738 0 0 1 4 1 0 1.42709994737355
"2" 0 0 0 -0.0734954856163148 1 1 -3.87576572142219 -1.43399441558698 -4.17321090081114 0 0 0 5 2 8 0.768598555917843
"3" 0 1 0 0.226706851441814 0 2 -4.1216275812508 -3.65235694049665 -2.53257444343653 0 0 0 3 2 1 1.40399308824373
"4" 0 1 2 0.197876325660051 1 0 -3.2275806336958 -2.70566258794705 -4.41262438965174 0 0 0 3 2 6 0.45007847128902
"5" 0 0 0 -0.318156340264119 0 1 -5.17503078881785 -3.31778606340441 -4.24729023421955 0 0 0 3 4 0 0.30685960381358
"6" 0 1 1 0.0411182702646586 1 0 -3.10394264450321 -2.89120125764275 -4.28899927204431 0 0 0 7 3 3 -0.372565175096797
"7" 1 0 2 0.836453172350965 0 1 -2.42393593047077 -1.91194613043127 -0.967217425924847 0 0 0 4 2 1 0.922578690491061
"8" 0 0 2 0.281657840016998 0 1 -3.99094498465408 -3.18668095936428 -3.12381744179709 0 0 0 2 3 3 0.89395416491228
"9" 0 0 1 0.454331014593158 0 1 -3.72297041910202 -2.46759911265265 -2.46315274263222 0 0 0 1 3 3 1.44066521478613
"10" 0 0 0 -0.293129111500237 0 0 -5.48227987156178 -5.03388586292415 -5.54579912284849 0 0 0 3 6 2 0.715095425763123
"11" 1 0 0 0.356370895895725 1 2 -2.24241005819673 -1.14122800612465 -2.20882344594798 0 0 0 0 1 3 1.63017407418313
"12" 1 1 2 0.589993129373639 1 1 -1.21337323110459 0.10704530292018 -1.19771769556685 0 1 0 0 0 1 -0.60761340579032
"13" 0 1 1 0.200278896825875 0 0 -3.73035096109488 -3.96759429547005 -4.1600715011465 0 0 0 1 4 6 0.0845502760426293
"14" 0 1 0 -0.259912251007508 0 0 -5.32058639338178 -4.57478973537943 -4.99757935107627 0 0 0 5 3 6 -0.584764415956269
"15" 1 1 2 0.605843918392034 0 2 -2.74125592323457 -2.60634212637303 -1.01868534601557 0 0 1 4 4 1 -0.115796811000085
"16" 1 1 2 0.883371734610302 0 2 -2.43968699789933 -2.392475429988 -0.39635414393708 0 0 0 1 1 0 1.68572803311131
"17" 0 1 0 0.279325354795025 0 2 -4.21685542040298 -3.36237802660847 -2.27198505055796 0 0 0 10 4 1 2.13508763383058
"18" 0 1 2 0.475519052692295 1 2 -2.27870059512736 -1.6441352117318 -1.97971813959684 1 0 0 2 2 0 2.09280919355302
"19" 0 0 0 -0.303730343380376 1 1 -4.23095832602079 -1.51007581387653 -4.07264729179421 0 0 0 4 1 3 -0.0839065442870499
"20" 1 0 1 0.679501052967847 1 0 -1.20511679594836 -1.7408923761342 -2.20542957864159 0 0 0 2 1 5 0.0435411738387445
"21" 0 0 2 -0.0414135934663386 0 2 -4.73891512677907 -3.61242603110851 -3.58570309341706 0 0 0 4 2 4 -0.613346849337158
"22" 1 1 0 0.750697595473514 1 2 -0.361217878557235 -0.685259857728508 -0.393278059788133 0 0 0 3 1 1 1.99794902251801
"23" 0 0 1 0.278387355270341 1 1 -2.7787345590462 -1.20403216830081 -2.80751005356558 0 0 0 1 3 2 1.801066684137
"24" 1 0 0 0.603253200213989 1 2 -1.59711093631844 -1.16498919827651 -1.55578448269069 0 0 1 1 0 1 1.8201047760212
"25" 0 1 0 0.0396022127164291 0 2 -4.3085137510718 -3.32437070154608 -3.00865589437623 0 0 0 7 1 0 0.907206235377292
"26" 0 0 0 -0.027419575083913 1 0 -3.92148886345573 -3.45124414007204 -4.61975574267735 0 0 0 8 4 5 0.687748142337789
"27" 1 1 2 1.13131098900398 1 1 0.0937347337343845 -0.0617465255924765 0.0039487572155768 0 1 0 0 0 0 2.93903076500336
"28" 1 1 2 0.397827346846421 1 0 -2.02901243616302 -1.88063409390014 -2.62801212231937 0 0 0 3 1 2 0.319515920143305
"29" 0 1 1 0.362653246007612 1 0 -1.93570074023224 -2.87353622782103 -3.89348932237842 0 0 0 2 0 2 0.950920794601604
"30" 0 0 0 -0.0839697047196066 0 2 -5.15692578615768 -3.41066597563212 -3.64157744043566 0 0 0 7 3 4 1.12000937081117
"31" 0 1 2 0.00190013457515986 0 0 -4.55897944094852 -4.86182169965693 -4.5529644711277 0 0 0 2 2 2 -0.308588787887879
"32" 1 1 0 0.754538900404588 1 2 -0.960278496232821 -0.484736485053069 -0.719940446922087 0 1 0 1 0 0 1.59255501738923
"33" 0 1 1 0.157491694264879 0 1 -4.09842182321661 -2.62767870636207 -2.64092212286821 0 0 1 5 1 2 -0.0403843740072645
"34" 1 0 0 0.199287318763216 0 0 -3.76123494992276 -3.94093563752198 -4.41141316525858 0 0 0 2 3 3 -0.195258393896444
"35" 1 1 2 0.373848850283147 1 1 -1.70044712801972 -0.430850801352932 -1.91650788114304 0 1 0 3 0 2 -0.835423309976087
"36" 1 0 1 0.684019560181005 0 0 -2.64938817103096 -3.4575160871488 -2.62117914216145 0 0 0 3 8 1 1.09616533076723
"37" 0 0 2 0.107630530812113 0 0 -4.16556929607622 -4.7596125618232 -4.95186708369773 0 0 0 4 3 5 1.19065479294453
"38" 1 1 2 0.877955963512565 1 0 -0.802551360664124 -1.72890639422238 -1.82982002676414 0 0 1 1 3 5 1.36148211784239
"39" 1 1 1 1.01182520907409 1 1 0.0325349431728764 0.364191428936085 -0.498774504699449 1 1 1 0 0 0 1.93399699763769
"40" 0 1 0 -0.143085441417424 1 2 -3.91965196590021 -1.95515140259638 -3.15192015759983 0 0 0 2 0 3 0.147082491852023
"41" 0 1 0 0.0092489248337996 1 2 -3.57646506724626 -2.4277303390112 -3.21951731708619 0 0 0 2 2 5 0.616968875396162
"42" 1 1 2 0.697054826954809 1 0 -0.928689266056588 -1.84860758109612 -2.64008413924409 0 0 0 1 2 4 1.12037628525467
"43" 1 1 1 1.17562205099573 0 1 -1.44386204054244 -1.74725531344403 0.0182134114519173 0 0 0 1 2 0 1.93073100234741
"44" 1 0 0 0.585288253571515 1 2 -1.75203245848548 -1.14390703734082 -1.62050181656395 0 0 1 0 0 1 1.15253204734302
"45" 1 0 1 1.24550752718303 1 2 0.00618784484805676 -0.726520639049422 0.191958761056609 0 0 0 0 0 1 3.280282024176
"46" 0 1 2 0.547154036682781 0 2 -3.32059309449958 -3.06453933015864 -1.47144662771152 0 0 0 3 1 1 2.33701597866434
"47" 1 1 2 0.617317163339138 1 0 -1.26119799093417 -1.91417544418631 -2.59050490437624 0 0 0 0 1 3 0.354500165955198
"48" 1 1 1 0.740802930010303 1 2 -0.527497620197045 -0.736453771382268 -0.397522567911242 0 1 0 2 1 0 0.885664690174129
"49" 0 0 2 -0.0666240881736184 1 2 -3.77350061640812 -1.8316358383692 -3.55931108044656 0 0 1 6 5 3 0.417976452899721
"50" 0 1 1 0.115260797011173 0 1 -4.38061794955562 -2.77361351836295 -3.01776371607534 0 1 0 3 4 2 -0.70285947477036
"51" 0 1 0 0.140826798913713 1 0 -3.44329194899559 -2.87075533028845 -4.38389303545469 0 0 0 3 3 5 0.737638180382835
