"A" "M_cont1" "M_cont2" "M_bin1" "M_bin2" "contY_2contM_MMint" "contY_binMcontM_MMint" "contY_2binM_MMint" "binY_2contM_MMint" "binY_binMcontM_MMint" "binY_binMcontM_MMint" "binY_2binM_MMint" "C"
"1" 0 0.0589952993338887 0.0118341452342003 1 1 -4.78256798948234 -2.99536559785798 -1.25960546270075 0 0 0 1 1.42709994737355
"2" 0 -0.022060703696689 -0.154784820142285 0 0 -5.16687610090526 -4.76046726002301 -5.24091902670178 0 0 0 0 0.768598555917843
"3" 0 -0.00312402433618537 -0.0386214186111525 1 0 -4.8815964674336 -3.35798018430178 -2.94064677603179 0 0 0 0 1.40399308824373
"4" 0 -0.0438355775168624 -0.166503912627891 1 1 -5.5580874774664 -2.9845666274774 -1.66880177583983 0 0 0 0 0.45007847128902
"5" 0 -0.0432148622630727 -0.224122107207821 0 0 -4.9432714134695 -5.1696438981201 -4.87460882174413 0 0 0 0 0.30685960381358
"6" 0 -0.412492780331683 -0.49806831637789 1 1 -6.29485476445939 -4.03368826223978 -1.46301215852069 0 0 0 1 -0.372565175096797
"7" 1 0.451031400503345 0.368401328970818 0 1 -2.7759171846197 -3.37070844982726 -2.84012377062678 0 0 0 0 0.922578690491061
"8" 0 0.0152293656693512 0.114142607291364 0 0 -4.53250211802727 -5.16840572056105 -5.03080155382768 0 0 0 0 0.89395416491228
"9" 0 0.226875962464305 0.146244753397736 0 1 -4.33698815734719 -4.39534795769548 -3.68094856889991 0 0 0 0 1.44066521478613
"10" 0 -0.0421518278033824 -0.15654109656071 0 0 -5.21441098077246 -5.08446805628821 -5.01816672214806 0 0 0 0 0.715095425763123
"11" 1 0.412999525508112 0.659971722427698 0 0 -2.58497165305435 -3.54562857551492 -4.42156523773943 0 0 0 0 1.63017407418313
"12" 1 0.0971345236219703 -0.128382044260401 1 1 -4.16205937179658 -1.91811255456027 -0.477703954314124 0 0 0 0 -0.60761340579032
"13" 0 -0.210363709000713 -0.246769096354656 1 0 -5.43448380978277 -3.24624897167134 -3.42057351543307 0 0 0 0 0.0845502760426293
"14" 0 -0.4472431325095 -0.508662037801496 1 0 -6.43167906354216 -3.87982737389653 -3.02973729926276 0 0 0 0 -0.584764415956269
