"A" "M_cont1" "M_cont2" "M_bin1" "M_bin2" "contY_2contM_mint" "contY_binMcontM_mint" "contY_2binM_mint" "binY_2contM_mint" "binY_binMcontM_mint" "binY_binMcontM_mint" "binY_2binM_mint" "C"
"1" 0 0.0589952993338887 0.0118341452342003 1 1 -4.78277743716448 -3.01306418765815 -1.55960546270075 0 0 0 1 1.42709994737355
"2" 0 -0.022060703696689 -0.154784820142285 0 0 -5.16790049952143 -4.76046726002301 -5.24091902670178 0 0 0 0 0.768598555917843
"3" 0 -0.00312402433618537 -0.0386214186111525 1 0 -4.88163266370909 -3.35704297700092 -2.94064677603179 0 0 0 0 1.40399308824373
"4" 0 -0.0438355775168624 -0.166503912627891 1 1 -5.56027711601706 -2.97141595422235 -1.96880177583983 0 0 0 0 0.45007847128902
"5" 0 -0.0432148622630727 -0.224122107207821 0 0 -4.94617703526743 -5.1696438981201 -4.87460882174413 0 0 0 0 0.30685960381358
"6" 0 -0.412492780331683 -0.49806831637789 1 1 -6.35648963984474 -3.90994042814028 -1.7630121585207 0 0 0 1 -0.372565175096797
"7" 1 0.451031400503345 0.368401328970818 0 1 -2.32470569925877 -3.19029588962592 -2.44012377062678 0 0 0 0 0.922578690491061
"8" 0 0.0152293656693512 0.114142607291364 0 0 -4.53302361387874 -5.16840572056105 -5.03080155382768 0 0 0 0 0.89395416491228
"9" 0 0.226875962464305 0.146244753397736 0 1 -4.34694198310193 -4.39534795769548 -3.68094856889991 0 0 0 0 1.44066521478613
"10" 0 -0.0421518278033824 -0.15654109656071 0 0 -5.21639052877638 -5.08446805628821 -5.01816672214806 0 0 0 0 0.715095425763123
"11" 1 0.412999525508112 0.659971722427698 0 0 -2.01866964713612 -3.38042876531167 -4.42156523773943 0 0 0 0 1.63017407418313
"12" 1 0.0971345236219703 -0.128382044260401 1 1 -4.15762554106973 -1.25983184038709 0.722296045685876 0 1 1 1 -0.60761340579032
"13" 0 -0.210363709000713 -0.246769096354656 1 0 -5.45005718849555 -3.18313985897112 -3.42057351543307 0 0 0 0 0.0845502760426293
