"A" "M_cont" "M_bin" "M_cat" "contY_binMcontM_noint" "contY_catMbinM_noint" "contY_catMcontM_noint" "binY_binMcontM_noint" "binY_catMbinM_noint" "binY_catMcontM_noint" "countY_binMcontM_noint" "countY_catMbinM_noint" "countY_catMcontM_noint" "C"
"1" 0 -0.0173973422054521 1 1 -3.72069752768229 -1.61514070001315 -3.60498094340532 0 0 0 5 3 5 1.42709994737355
"2" 0 0.0287316737343458 0 2 -4.96533700029588 -3.74180747598161 -3.29885495796052 0 0 0 5 0 4 0.768598555917843
"3" 0 -0.0204575021629101 1 1 -3.58294717686764 -1.54530283949218 -3.73299413345764 1 1 0 2 0 5 1.40399308824373
"4" 0 -0.17330382322215 1 1 -3.99166890368566 -1.29964256418986 -4.25755862952105 0 0 0 8 3 6 0.45007847128902
"5" 0 -0.196101106834952 0 2 -5.30190946079275 -3.85360465948454 -3.96380920971486 0 0 0 10 3 4 0.30685960381358
"6" 0 -0.138224793308774 1 1 -3.99563632746853 -1.50406263841165 -4.2486206393396 0 0 0 4 1 2 -0.372565175096797
"7" 1 0.434125431415321 0 2 -3.32128316652112 -2.95841477159882 -1.90111295007009 0 0 1 4 1 1 0.922578690491061
"8" 0 -0.0466407015721383 0 2 -4.7543783165613 -3.78304077220806 -3.3557418362588 0 0 0 6 4 3 0.89395416491228
"9" 0 0.145610654448289 0 2 -4.53967915633675 -3.57619160114258 -2.82428027093745 0 0 0 3 3 3 1.44066521478613
"10" 0 -0.147604641552674 0 2 -5.22588754500839 -3.81444927893545 -3.70411984193973 0 0 0 2 3 4 0.715095425763123
"11" 1 0.667295554463625 0 2 -2.9751899839518 -3.12251527273434 -1.38198136117687 0 0 0 2 3 2 1.63017407418313
"12" 1 0.177499177703942 1 1 -2.40042921051527 -1.0651951875466 -2.63219107129851 0 1 0 1 0 1 -0.60761340579032
"13" 0 -0.495652892934549 1 2 -4.9241106891434 -2.2452365720061 -4.43430209375745 0 0 0 6 2 5 0.0845502760426293
"14" 0 -0.431051872116666 1 2 -4.39400440607883 -2.26619128715891 -4.0300376646304 0 0 0 4 5 7 -0.584764415956269
"15" 1 0.403714750800793 1 0 -2.67185406264574 -2.86685023742667 -3.5950935118208 0 0 0 2 3 8 -0.115796811000085
"16" 1 0.748011844427818 1 1 -1.75541869299629 -1.00634855816154 -1.57888328438153 0 1 1 2 0 1 1.68572803311131
