"A" "M_cont" "M_bin" "M_cat" "contY_binM_noint" "contY_contM_noint" "contY_catM_noint" "binY_binM_noint" "binY_contM_noint" "binY_catM_noint" "countY_binM_noint" "countY_contM_noint" "countY_catM_noint" "Ycen_binM_noint" "Ycen_contM_noint" "Ycen_catM_noint" "cens_binM" "cens_contM" "cens_catM" "delta_binM" "delta_contM" "delta_catM" "C"
"1" 0 -0.0173973422054521 1 1 -3.10005330911199 -5.00198639441805 -2.8888742761792 0 0 0 5 5 1 0.0511322058959062 0.00119314285854193 0.0484603504496438 0 1 0 1 0 1 1.42709994737355
"2" 0 0.0287316737343458 0 2 -5.16678140438123 -5.15664174935107 -3.66996236609907 0 0 0 4 4 4 0.0221802187117776 0.00451569094450575 0.0202878665789509 1 1 1 0 0 0 0.768598555917843
"3" 0 -0.0204575021629101 1 1 -3.30867985508978 -4.43793927808386 -3.01447210113651 0 0 0 2 10 6 0.0110921799642021 0.00502776128675212 0.0129291163473522 1 1 1 0 0 0 1.40399308824373
"4" 0 -0.17330382322215 1 1 -2.97621408730176 -5.10925359268416 -3.06206648981971 0 0 0 4 7 3 0.0352907055616888 0.00536257952394935 0.00628126237938311 1 1 1 0 0 0 0.45007847128902
"5" 0 -0.196101106834952 0 2 -5.08933816261961 -5.78020579489704 -3.80349512068088 0 0 0 7 3 4 0.00128446288385931 0.00909457693074309 0.0484603504496438 1 1 0 0 0 1 0.30685960381358
"6" 0 -0.138224793308774 1 1 -3.11990651858144 -5.22308267751335 -3.23298751475017 0 0 0 3 4 1 0.0480503516229412 0.00643187248594192 0.0484603504496438 1 1 0 0 0 1 -0.372565175096797
"7" 1 0.434125431415321 0 2 -4.13227921990269 -3.11855177863315 -2.99995807873158 0 0 0 2 0 2 0.0264841430379982 0.0223828731006426 0.0484603504496438 1 0 0 0 1 1 0.922578690491061
"8" 0 -0.0466407015721383 0 2 -5.1042609804053 -4.72629582806534 -3.73661707606609 0 0 0 3 3 3 0.0141002687869791 0.00222231432913933 0.00683600504060786 1 1 1 0 0 0 0.89395416491228
"9" 0 0.145610654448289 0 2 -5.00131577912078 -4.6858826337361 -3.86555908150844 0 0 1 1 4 2 0.0251149893867548 0.0223828731006426 0.0109173854097093 1 0 1 0 1 0 1.44066521478613
"10" 0 -0.147604641552674 0 2 -5.16294993775594 -5.19493771998754 -3.49643310703781 0 0 0 13 9 3 0.00711273953265806 0.00468733843919244 0.0484603504496438 1 1 0 0 0 1 0.715095425763123
"11" 1 0.667295554463625 0 2 -4.39881756507428 -2.89233077724926 -2.34586366910367 0 0 0 6 4 4 0.0511322058959062 0.0223828731006426 0.0484603504496438 0 0 0 1 1 1 1.63017407418313
"12" 1 0.177499177703942 1 1 -2.56040167909186 -4.0588023896028 -2.26243532179334 0 0 0 2 6 4 0.0187380903623406 0.0223828731006426 0.0484603504496438 1 0 0 0 1 1 -0.60761340579032
"13" 0 -0.495652892934549 1 2 -3.34699203162469 -6.06828618613002 -3.40256365166096 0 0 0 2 4 3 0.0133452463876555 0.0126118117223798 0.00369685479067722 1 1 1 0 0 0 0.0845502760426293
"14" 0 -0.431051872116666 1 2 -3.02967592170758 -5.70844365506656 -4.04134480027968 0 0 0 9 5 4 0.0450763982285361 0.000260431485268713 0.00504319196809988 1 1 1 0 0 0 -0.584764415956269
"15" 1 0.403714750800793 1 0 -2.54573398973743 -3.73332500132704 -3.92619728060114 0 0 1 1 2 3 0.0122073667674102 0.0223828731006426 0.00215392850459396 1 0 1 0 1 0 -0.115796811000085
"16" 1 0.748011844427818 1 1 -2.04433597164403 -2.48987678758262 -2.71370147819272 1 0 0 1 3 1 0.0511322058959062 0.0223828731006426 0.0484603504496438 0 0 0 1 1 1 1.68572803311131
"17" 0 0.219192187384034 1 0 -2.76659105211155 -4.30746688077155 -5.20221570816492 0 0 0 3 3 1 0.0151363654786939 0.021833655188298 0.00854015897082397 1 1 1 0 0 0 2.13508763383058
"18" 0 0.24773843855695 1 1 -2.96319157347293 -4.61889975198857 -2.78427616980581 0 0 1 6 5 4 0.0293691236749214 0.00723508786357583 0.0220624681755968 1 1 1 0 0 0 2.09280919355302
"19" 0 -0.572751719797953 0 0 -5.16261906226251 -6.118989034318 -4.78186646971997 0 0 0 2 7 5 0.0178322521635566 0.000857086359559426 0.0173831955932106 1 1 1 0 0 0 -0.0839065442870499
"20" 1 0.319604516120866 0 0 -4.14016262276566 -3.88337340641971 -4.39248614710468 0 0 0 4 5 3 0.0215125598508041 0.0190151682914895 0.0156416615169525 1 1 1 0 0 0 0.0435411738387445
"21" 0 -0.439522720603755 0 0 -5.09801283066527 -6.13065522640869 -4.85561761506461 0 0 0 7 2 3 0.000882260969985908 0.000872327341584632 0.0036817217068701 1 1 1 0 0 0 -0.613346849337158
"22" 1 0.639748417597294 1 2 -2.60913580020295 -3.02843439050357 -2.5020999407584 0 0 1 3 5 5 0.0511322058959062 0.0223828731006426 0.00893400375594422 0 0 1 1 1 0 1.99794902251801
"23" 0 0.149425333345428 0 0 -4.79010795953612 -4.59121038816142 -4.86236165320391 0 0 0 5 6 5 0.00466456461282108 0.00699491969021899 0.00399753120303013 1 1 1 0 0 0 1.801066684137
"24" 1 0.649894305291161 0 1 -4.14789138070781 -2.81619613136219 -1.86673708736998 0 0 0 0 3 1 0.0121083699871226 0.0223828731006426 0.0484603504496438 1 0 0 0 1 1 1.8201047760212
"25" 0 0.0434439559962945 1 2 -3.06289312688534 -5.20790710963249 -4.08175861834721 0 0 0 0 7 2 0.0212335391388592 0.00543404284373315 0.0250587305748397 1 1 1 0 0 0 0.907206235377292
"26" 0 -0.252078068692714 0 0 -5.17649840085192 -5.19273205483797 -5.1124357881541 0 0 0 5 4 6 0.00655049161895533 0.000959356000595543 0.00105869148312146 1 1 1 0 0 0 0.687748142337789
"27" 1 0.71122948130076 1 1 -1.6828915530195 -2.28134216308933 -2.18096168257338 1 0 0 2 1 5 0.0511322058959062 0.0223828731006426 0.0484603504496438 0 0 0 1 1 1 2.93903076500336
"28" 1 0.191459403320558 1 1 -2.28200485351865 -3.78329903825032 -2.15476596080113 0 0 0 2 5 2 0.0511322058959062 0.0223828731006426 0.0484603504496438 0 0 0 1 1 1 0.319515920143305
"29" 0 -0.115880264338963 1 2 -3.59305902218653 -5.09875863330008 -3.6711841926849 0 0 0 4 4 8 0.00606463543116367 0.0118235548950177 0.0192562999880458 1 1 1 0 0 0 0.950920794601604
"30" 0 -0.0293128069365413 0 2 -4.71870706568745 -4.94052174677471 -3.76090975668169 0 0 0 6 6 6 0.0002680747624376 0.00917644240631958 0.00442522000654798 1 1 1 0 0 0 1.12000937081117
"31" 0 -0.206280297744585 1 0 -3.08731005110566 -5.38880295746625 -5.09314001367551 0 0 0 4 9 7 0.0511322058959062 0.00239833100903289 0.0221992103732278 0 1 1 1 0 0 -0.308588787887879
"32" 1 0.552736115762776 1 0 -2.33453275809282 -3.28454857934459 -4.01226839546681 0 0 1 1 4 5 0.0160475390779735 0.0223828731006426 0.0392746773304071 1 0 1 0 1 0 1.59255501738923
"33" 0 -0.426888819861318 1 1 -3.02533166119475 -5.51075350992818 -3.15594126119 0 0 0 2 7 2 0.0249854624020643 0.00486330915820385 0.0246086335483395 1 1 1 0 0 0 -0.0403843740072645
"34" 1 0.196952148645885 0 0 -4.47429893469111 -4.12165170685448 -4.05146744128352 0 0 0 2 3 5 0.00519369387393588 0.0223828731006426 0.00694391593307807 1 0 1 0 1 0 -0.195258393896444
"35" 1 0.112603609832848 1 1 -2.4874599772708 -3.99094501052918 -2.43544459900616 0 0 0 4 2 3 0.0125687773594192 0.0048800847312321 0.0365979706181167 1 1 1 0 0 0 -0.835423309976087
"36" 1 0.382014791263585 0 2 -3.88289773848744 -3.34946837938074 -3.02435569317564 0 0 0 4 5 3 0.0351732628116088 0.013525564266537 0.0484603504496438 1 1 0 0 0 1 1.09616533076723
"37" 0 -0.0750255835965961 0 0 -4.84758104843843 -4.78388764450432 -4.93994531262402 0 0 0 2 3 5 0.000819519525030682 0.00233015609360715 0.00115696754397087 1 1 1 0 0 0 1.19065479294453
